책 제목,소개글
1학년 맞춤법 쓰기 (1학년 전문가 하유정 선생님의 맞춤법 어휘 학습법),"스테디셀러 〈1학년 시리즈〉 신간!
1학년 전문가 하유정 선생님이 제안하는 맞춤법 어휘 쓰기 학습법

초등학교 1학년을 비롯해 초등 저학년은 국어의 기초 실력을 다지는 중요한 시기입니다. 이 시기에 한 글을 뗀 아이들이 가장 어려워하는 것이 바로 '맞춤법'입니다. 소리만으로 구분하기 어렵고 헷갈리는 낱 말은 저절로 익혀지지 않기 때문에, 잘못 익힌 경우에는 바로잡기가 쉽지 않습니다. 그렇다면 어떻게 하 면 맞춤법을 틀리지 않고 올바르게 쓸 수 있을까요? 이번 〈1학년 시리즈〉 신간 《1학년 맞춤법 쓰기》에 서는 초등학교 1학년 아이들의 눈높이에 맞춰 다양한 뜻을 가진 필수 맞춤법 어휘를 눈으로 보고, 직접 따라 쓰며 익숙해질 수 있도록 구성했습니다. 단순히 눈으로 보는 것보다는 따라 쓰기를 반복하는 것이 훨씬 더 효과적인 학습법입니다. 30일 동안 필수 맞춤법 어휘를 따라 쓰다 보면, 아이들은 자연스럽게 맞춤법에 익숙해지고 단단한 한글 실력을 갖추게 될 것입니다."
출발! 세포의 여행,"좌충우돌 세포 삼총사와 함께 
핏줄 롤러코스터 타고 씽씽!

인간은 왜 감기에 걸릴까요? 세균은 모두 나쁠까요? 알레르기에서 벗어날 방법은 없을까요? 건강해지려면 어떻게 살아야 할까요? 와, 잠만 잘 자도 키가 큰다고요? 《출발! 세포의 여행》을 통해 우리 몸에 대한 궁금증을 해소해 봐요! 현직 의사 선생님이 쓴 이 책에는 초등학생이 알아야 할 우리 몸에 대한 모든 정보가 담겨 있어요. 이를테면 모든 동물이 코딱지가 생기지는 않는다는 사실을 알고 있나요? 코딱지를 통해 공기의 질을 알아볼 수 있다는 것은요? 눈알을 한자어로 ‘안구(眼球)’라고 부르는 이유부터 우리 몸에서 제일 힘센 근육은 무엇인지까지! 촉각 세포 듬듬이, 근육 세포 씩씩이, 식세포 쩝쩝이까지 호기심 많은 세포 삼총사의 모험과 함께 우리 몸속을 속속들이 알아봐요!"
최고의 공개 수업,"제29회 MBC 창작동화대상 대상 수상작가 김윤진의 신작
개개인을 존중하면서도 함께 살아갈 우리를 가장 빛나게 할 이야기
타인에 대한 관심과 애정 덕분에 더욱 행복한 어린이

고봉이네 학교에서는 해마다 공개 수업을 한다. 고봉이 엄마의 소원은 “어쩜 그렇게 의젓하고 똑똑한 아들을 두셨어요!”라는 칭찬을 듣는 것이지만, 정작 고봉이는 수업 시간에 떠들거나 장난치지 않고 발표를 잘하는 게 너무 어렵다. 그런데도 논술 학원 다니는 것만은 피하려고 덜컥 엄마와 약속하고 말았다. 공개 수업 날, 최고의 모습을 보여 주겠다고!

다음 날 학교에 가니 또 새로운 걱정이 생겼다. 친구들이 너도나도 공개 수업의 단점을 이야기하면서 공개 수업을 없애 달라고 학교에 건의를 하겠단다. 고봉이도 공개 수업이 괴롭긴 마찬가지지만 어쨌거나 공개 수업은 사수해야 한다. 

선생님이 이번 공개 수업의 주제인 ‘우리 동네 최고의 자랑거리’에 대해 미리 알아보는 숙제를 내 주었다. 고봉이는 절친 민찬이와 함께 동네 구석구석을 다니며 아름다운 동네의 모습뿐 아니라 동네의 고민거리까지 생각하게 되었다. 그리고 공개 수업을 하고 싶지 않은 친구들의 고민도, 공개 수업 날을 기다리는 친구들의 고민도 머릿속을 떠나지 않았다. 

어떻게 하면 고봉이와 친구들이 최고의 공개 수업을 할 수 있을까? 어떤 것이 최고의 공개 수업일까?"
냉장고 히어로 김치치 1 (깍두기두기 쌍둥이 실종 사건),"“김치치와 함께라면 과학이 즐거워져!”
냉장고 안에서 시원하고 유쾌하게 펼쳐지는 
교과 밀착 과학 동화

냉장고 마을의 해결사 ‘김치치’는 언젠가 환상의 김치 캐슬에 입성하기 위해 마을 안팎의 사건을 해결하며 과학력을 키워 가고 있다. 그 곁에는 둘도 없는 파트너 두부두부가 함께한다. 과연 오늘은 냉장고 마을에 어떤 사건이 일어날까? 우리의 해결사 김치치는 과학력을 최대치로 끌어올려 환상의 김치 캐슬에 당당히 입성할 수 있을까?

현직 초등 교사이자 교과서 집필진, EBS 과학 프로그램 자문가로 활동한 바 있는 권정아 작가는 아이들에게 과학의 진짜 재미를 선보이기 위해 친근하고도 엉뚱한 캐릭터 ‘김치치’가 활약하는 〈냉장고 히어로 김치치〉 시리즈를 탄생시켰다. ‘과학은 복잡하고 어려워!’라는 편견에 매콤한 고춧가루를 뿌리는 김치치의 첫 번째 이야기, 『냉장고 히어로 김치치 1: 깍두기두기 쌍둥이 실종 사건』을 파헤치러 가 보자!"
서바이벌 뚜식탈출 2: 왠지 특별한 녀석들 (SOS 안전상식 코믹학습북),"“건강하고 안전한 삶을 위한 어린이 필독서!
일상 속 위험을 요리조리 슬기롭게 헤쳐 나가는 
유쾌 발랄한 뚜식이네 하루를 함께해 보세요!“

폭소 만발 뚜식이네 하루를 관찰하며 배우는 생활 밀착형 안전상식!
안전 제일 뚜식이 패밀리 전설은 계속된다!"
나는 빛나는 3학년이야,"“난 반짝이는 3학년이야”

혼자보다 함께하는 일이 많아지는 3학년은 친구와 더욱 깊은 관계를 형성하고 나와 타인을 주체적으로 이해하는 시기이다. 『나는 빛나는 3학년이야』에는 친구들과 소통하며 오해를 풀고, 다름을 인정하고 받아들이며, 꿈을 향해 도전하는 어린이들의 이야기를 담았다. 스스로 좋아하는 것을 찾고 자기 마음에 귀를 기울이는 당당한 3학년을 만나 보자."
비마이펫 멍냥오디션 : 상,"반려 동물이 가수가 되는 세상이 왔다!
 
비마이펫
멍냥오디션 상
 
천만 반려동물 시대. 반려 인구 필독서!
우리 강아지, 고양이와 매일 매일을 즐거움으로!

반려동물이 말을 하고 노래하는 세상이 왔다!
강아지와 고양이에 대한 상식을 재미있는 이야기로 풀어낸 교양 만화 〈비마이펫 멍냥연구소〉의 새로운 후속작 〈비마이펫 멍냥오디션〉. 집사 주인이와 헤어질 위기에 처한 삼색&리리!
주인이와 함께 살기 위해 쇼미더 애니멀 팝스타에 도전하는데, 1등을 해야 주인이와 함께 살 수 있다! 과연 삼색이와 리리는 무사히 오디션을 마칠 수 있을까요? 지금 바로 〈비마이펫 멍냥오디션〉을 만나 보세요."
"열혈 세종대왕 1: 이도, 한양에 가다 (역사를 생생하게 우리 영웅 시리즈)","한국인이 가장 존경하는 위인 
세종대왕의 일대기를 만화로 만나다!

역사를 생생하게! 우리 영웅 시리즈의 두 번째 인물, 《열혈 세종대왕》

한글을 창제한 조선 최고의 왕 
세종대왕의 특별한 어린 시절 이야기!

이도 왕자가 어떻게 위대한 임금으로 성장해 갔는지, 스물두 살에 임금이 되어서 32년 동안 어떤 업적을 남겼는지, 그런 업적을 남기기 위해 얼마나 노력했는지를 알 수 있을 거예요. 이 책을 읽고 세종대왕에 대해서 잘 알게 될 뿐 아니라 세종대왕을 가진 우리 역사가 자랑스럽다는 생각도 함께하기를 바랍니다.
-서울시립대학교 국사학과 교수 이익주-


◆1권 소개◆

세종대왕 동상의 혼령이 들려주는 세종대왕 일대기!

한양에서의 새로운 궁 생활을 시작하게 된 왕자 이도,
책을 더 많이 읽을 수 있다는 기대에 설레던 이도 앞에는 새로운 고난들이 기다리고 있는데…! 

현재, 광화문 앞에 있는 세종대왕 동상과 이순신 장군 동상. 두 동상에는 아직 저승으로 가지 못한 세종대왕과 이순신 장군의 혼령이 남아 있다. 세종대왕의 혼령에게 이순신 장군 혼령은 셋째 아들이셨던 세종대왕이 어떻게 왕위에 오르게 되었는지, 왜 한글을 창제하게 되었는지 묻는다. 이에 세종대왕은 한양으로 와 처음 경복궁을 보게 된 자신의 9살 때부터 기억을 더듬어 이야기를 시작한다….
개경에서 한양으로 와 그곳에서 만난 여자아이 심인선과 즐겁게 지내던 것도 잠시, 궁으로 가야 할 시간이 다가온다. 처음으로 창덕궁을 보며 놀란 이도 왕자는, 큰형님이 아버지 태종의 뒤를 이어 왕이 될 것이며, 더불어 글을 잘 읽고 똑똑한 자신을 큰 형님이 경계한다는 사실도 알게 된다.
한양 궁궐 안의 모든 것이 낯설지만, 책이 가득한 보문각을 보면서 책을 좋아하는 이도는 기뻐서 어쩔 줄 모른다. 하지만 태종의 보문각 출입 금지령이 떨어지자, 크게 실망하는데…."
겨울잠을 자지 못하는 곰,"《겨울잠을 자지 못하는 곰》은 지구 온난화로 기온이 너무 따뜻해져서
겨울잠을 자지 못한 곰이 그동안 지내온 삶의 터전을 버리고 
살곳을 찾아 떠나는 이야기를 담고 있어요.

“으아아악, 너무 피곤해. 잠을 더 자야 하는데,
집 안이나 밖이나 더워서 견딜 수가 없어.”
겨울잠을 자지 못한 곰이 속이 상해 소리쳤어요.
결국 온몸을 하얗게 칠하고서 북극으로 떠나는데…….
과연 곰은 북극으로 가서 겨울잠을 잘 수 있을까요?"
만화로 배우는 마인크래프트 지구 대백과,"★시리즈 누계 150만 부 돌파★
지구의 모든 것을 한 권에 담았다!  
지식과 재미를 모두 잡은 신개념 백과!

마인크래프트는 발매 이후 3억 장 이상 판매된, 세계에서 가장 많이 팔린 비디오 게임이에요. 네모난 블록으로 이루어진 세계에서 플레이어는 아이템을 채굴하고, 건물을 짓고, 몹과 전투를 벌이며 생존하는 등 무엇이든 자유롭게 만들고 활용할 수 있어요. 우리나라를 비롯한 선진국에서는 마인크래프트 게임을 과학, 건축, 코딩 등과 접목시켜 교육 도구로 활용하고 있지요. 
《만화로 배우는 마인크래프트 지구 대백과》는 우리가 살고 있는 지구와 마인크래프트 게임 속 세상과 비교하여 알려 주는 새로운 형태의 신개념 백과예요. 지구의 구조를 비롯하여 돌과 광석, 꽃과 풀, 나무와 목재, 땅과 물에 사는 동물, 그리고 우리의 삶을 편리하게 만들어 주는 도구까지 지구상에 있는 모든 것을 한 권에 담았어요. 마인크래프트 게임 속 이미지와 실제 사진을 비교하며, 초등학교 과학 교과서와 연계된 폭넓고 유익한 과학 지식을 익힐 수 있어요. 뿐만 아니라, 아이들이 가장 좋아하는 만화와 난센스 퀴즈, 게임 공략까지 있어서 책 읽기에 흥미가 없는 아이라도 끝까지 술술 읽을 수 있지요. 아이들의 관심을 게임에서 과학으로 자연스럽게 확장시켜 주는 책이랍니다."
손가락 소풍,"모험 가득한 책 속 세계로 독자를 초대하는 참여형 그림책
가도 가도 즐거운 13가지 길을 따라 손가락 소풍을 떠나요!

『손가락 소풍』은 아이 스스로 손가락을 움직이며 책 속 모험에 빠져드는 독자 참여형 그림책입니다. 모험에 앞서 준비할 건 단 하나! 가위 모양을 한 뒤 거꾸로 뒤집은 손가락뿐이에요. 빨강과 파랑 고깔을 쓴 두 요정과 함께 책장 위를 아장아장 걷고, 폴짝폴짝 달리고, 캄캄한 굴을 지나, 비눗방울을 타고 올라가면 어느새 구름 위에 도착! 과연 손가락 소풍의 마지막 코스에는 어떤 일이 기다리고 있을까요? 

책 속에 펼쳐지는 13가지 손가락 모험 지도에는 유아의 오감을 자극하는 요소들이 가득합니다. 귀여운 아기 토끼들이 과일을 따는 사과밭, 강 한가운데 놓인 아슬아슬 통나무 다리, 향긋하고 보드라운 민들레 꽃길, 뚱땅뚱땅 소리 나는 피아노 계단, 우르릉 쾅쾅 천둥 번개 길까지, 다채롭게 변화하는 풍경 덕분에 지루할 틈이 없습니다."
다르단 걸 이젠 알아!  내 맘 네 맘 (감정을 이해하는 마음 연결 그림책),"나를 알고 다른 사람을 이해하는 마음이 
무럭무럭 자라는 우리 아이 첫 마음 연결 그림책

‘역지사지(易地思之)’라는 사자성어가 있습니다. 다른 사람의 입장에서 생각해 본다는 뜻이지요. 어른에게는 다른 사람의 입장에서 생각해 보는 일이 그리 어려운 일이 아닐 수 있어요. 그러나 어린아이에게는 어려운 일입니다. 영유아는 다른 사람의 마음을 이해하는 능력인 ‘공감’ 능력이 부족하기 때문이에요. 
아이들은 태어나서부터 줄곧 자기중심적인 생각을 하며 자랍니다. 그러다 만 4세 정도가 되면 나를 아는 것에서 더 나아가 다른 친구들을 살피고, 나와 다른 사람의 마음이 다르다는 것을 점차 알아 가지요. 이 시기에 부모님과 선생님으로부터 공감을 많이 받고, 마음이 연결되는 순간을 자주 경험한 아이들은 다른 사람을 더 잘 이해하고 공감하는 아이로 자랍니다. 
이 책은 유튜브 ‘우리동네 어린이병원’ 박소영 원장과 ‘쿠크닥스’ 조성우 원장이 함께 쓴 유아 마음 그림책으로, 유아 성교육을 다룬 《세 살부터 알아야 해! 내 몸 네 몸》의 후속작입니다. 아이들에게는 동화로 나의 마음과 다른 사람의 마음이 다를 수 있다는 것을 알려 주고, 부모님들에게는 올바른 공감 교육의 방향을 제시하지요. 이 책이 아이가 마음을 이해하는 데, 그리고 부모님들이 아이를 이해하는 데에도 도움이 되길 바랍니다.    
 
‘꿈꾸는 씨앗’은 마음을 채우는 유아 그림책 시리즈입니다. 《다르단 걸 이젠 알아! 내 맘 네 맘》은 이 시리즈의 세 번째 책으로, 나의 감정을 이해하는 것을 넘어 다른 사람의 감정까지도 이해할 수 있는 마음의 연결을 돕습니다."
비마이펫 멍냥연구소 10 (온 세상 반려가족 필수 반려동물 교양만화),"천만 반려동물 시대. 반려 인구 필독서!
우리 강아지, 고양이와 매일 매일을 즐거움으로!

“강아지, 고양이의 습성과 보호자가 가져야 할 자세를 재미있는 만화로!”
새로운 주제와 새로운 이야기로 찾아온 〈비마이펫 멍냥연구소 10〉는 강아지와 고양이에 대한 상식을 재미있는 이야기로 풀어낸 비마이펫 교양만화입니다.
이 책은 비마이펫 유튜브 채널의 〈비마이펫 강아지, 고양이 연구소〉, 〈비마이펫 프렌즈〉 영상툰을 수록한 책으로, 수많은 독자들이 기다린 견종 백과와 고양이의 생태를 주제로 한 재미있는 이야기를 전달합니다.
〈비마이펫 멍냥연구소〉의 종합 편 그 첫 번째 이야기! 〈비마이펫 멍냥연구소 10〉의 이야기를 보며, 반려동물의 행동과 심리 상태를 알아보세요.         

-초보 집사를 위한 친절한 설명과 정보 수록! 
-반려동물에 대한 소중함을 일깨워주는 도서!

강아지 리리와 고양이 삼색이와 함께 배우는 반려동물 상식.
반려동물과 행복한 일상을 꿈꾼다면, 지금 바로 〈비마이펫 멍냥연구소 10〉을 만나 보세요."
꽥 만약에 1 (생각을 더하는 가치 수업),"만약에, 만약에 말이야~
상상만 했던 일이 현실에서도 일어난다면
어떡할래?

‘만약에’라는 말을 달고 사는 꽥 앞에 어느 날 말하는 오리가 하늘에서 뚝 떨어진다! 그날부터 꽥이 ‘만약에’를 외치면 상상과 현실이 뒤섞이며 이상한 일들이 벌어진다. 현실 세계로 다시 돌아가기 위해선 현실의 문을 찾아 열어야 한다. 과연 꽥은 본래의 세상으로 되돌릴 수 있을까?"
설민석의 가장 쉬운 한국사 2: 역사를 이끈 인물 편 (역사를 이끈 인물 편),"따로 교과 준비를 할 필요 없는, 가장 쉽고 재미있게 배우는 한국사!

《설민석의 가장 쉬운 한국사 2. 역사를 이끈 인물 편》은 가장 쉽고 재미있게 읽을 수 있는 우리 아이들의 한국사 입문서라고 할 수 있습니다. 
만화로 된 《설민석의 한국사 대모험》시리즈가 한국사 입문 필독서로 우리 아이들에게 큰 사랑을 받고 있는데 《설민석의 가장 쉬운 한국사 2. 역사를 이끈 인물 편》은 만화와 동화 형식의 이야기를 함께 구성해 이야기의 흥미로움은 그대로 유지한 채 더욱 체계적이고 효과적으로 한국사에 접근하게 해 줍니다. 
《설민석의 가장 쉬운 한국사 1. 역사를 바꾼 사건 편》의 후속편으로 1권에서는 우리 역사의 12가지 큰 사건을 중심으로 이야기를 풀어 갔다면, 2권에서는 우리 역사에서 큰 획을 그은 인물 12명을 골라 그 인물들이 어떤 성장 과정을 거쳤고, 어떤 시대적 배경에서 활약했는지, 거기에 그 인물들로 인해 어떤 역사적 성과가 나타났는지 등을 알려 주고 있습니다. 
한국사는 초등 고학년 때부터 교과 과정에 포함되어 있는데 이에 대한 준비를 소홀히 한 친구들은 처음 한국사를 접했을 때 당황하고 어렵게 느낄 수 있습니다. 설민석의 가장 쉬운 한국사 2. 역사를 이끈 인물 편》은 삼국 시대부터 근대까지의 주요한 역사적 장면과 인물들을 다루고 있기 때문에 한국사를 준비하는 초등 저학년부터, 한국사를 어렵게 느끼는 초등 고학년 모두에게 꼭 필요한 책이 될 것입니다."
무한의 계단 미래소년 밍모 2 (본격 직업탐구 코믹스토리북),"미래의 나를 구하기 위한 
밍모의 시간 여행이 펼쳐진다!

인기 게임 무한의 계단과 대세 모바일게임 크리에이터 밍모의 만남!
꿈을 키우는 미래 세대를 위한 본격 직업탐구 코믹스토리북

“네 꿈이 무엇이니? 장래에 무엇이 되고 싶니?”
우리는 어린이들에게 종종 이런 질문을 합니다.
그리고 대답을 하지 못하면, 
""괜찮아, 지금은 공부 열심히 하고, 나중에 찾으면 돼.""라는 말로 덮어버리곤 하지요.
마치 공부만 열심히 하고, 잘하면, 좋은 학교를 가서, 나에게 맞는 꿈도, 직업도 찾을 수 있다고 공부의 중요성을 설득하지요.
하지만 이것은 우리 어린이들에게 큰 설득력도, 동기 부여도 되지 않는 공허한 메아리가 될 수 있어요. 우리 어린이들에겐 별로 공감되지 않은 이야기이기 때문이에요.
좋아하는 것이 무엇인지, 잘하는 것이 무엇인지 찾고 알 수 있도록 도와주는 것이 우선되어야 하지 않을까 생각합니다. 자신이 좋아하고, 잘하는 것이 무엇인지 알게 된다면, 꿈을 찾고 꿈을 꾸게 될 것입니다. 그리고 그것을 이루기 위해 노력하게 될 것입니다. 학업에 충실한 것 또한 노력의 일환이 될 것이고요. 

2권의 내용
어둠 속에서 자신을 부르는 누군가의 음성에 눈을 뜬 밍모. 집으로 돌아왔음에 기뻐하며 집으로 달려가지만, 익숙한 듯 낯선 풍경에 혼란스러워진다. 그때, 갑자기 머리에 번개를 맞은 것처럼 잊었던 기억들이 한꺼번에 떠오르는데, 사실은 길을 잃은 별빛 보안관과 생쥐를 돕기 위해 블랙홀에 빙의했던 일로 인해 블랙홀의 분노를 사 미래로 보내졌던 것! 때마침 나타난 블랙홀은 밍모에게 원래의 시간대로 돌아가기 위해선 30년, 20년, 10년 뒤의 미래로  이동해 곤경에 처한 미래의 네 자신을 구하라고 선포하는데…!"
언어의 온도 (말과 글에는 나름의 따뜻함과 차가움이 있다),"▶ 언어의 온도(170만부 기념 에디션) 은 온라인 혹은 일부매장에서 구매 가능하십니다.

말과 글에는 나름의 온도가 있다.

언어에는 따뜻함과 차가움, 적당한 온기 등 나름의 온도가 있다. 세상살이에 지칠 때 어떤 이는 친구와 이야기를 주고받으며 고민을 털기도 하고, 어떤 이는 책을 읽으며 작가가 건네는 문장으로 위안을 얻는다. 이렇듯 ‘언어’는 한순간 나의 마음을 꽁꽁 얼리기도, 그 꽁꽁 얼어붙었던 마음을 녹여주기도 한다. 

『언어의 온도』의 저자 이기주는 엿듣고 기록하는 일을 즐겨 하는 사람이다. 그는 버스나 지하철에 몸을 실으면 몹쓸 버릇이 발동한다고 고백한다. 이 책은 저자가 일상에서 발견한 의미 있는 말과 글, 단어의 어원과 유래, 그런 언어가 지닌 소중함과 절실함을 농밀하게 담아낸 것이다."
팬텀 버스터즈 3 (S코믹스),"이례적인 판매량!
현지 누계 60만 부 돌파!!!
지금 가장 화제인 4인조!

유령과 노래방에서 대결을 벌이고,
학생회와 다시 대치하는 등
더욱더 활발하게 활동하게 된 팬텀 버스터즈!
그러나 한편, 자키는 자신의 영감이 
불러온 고민을 안고 있었다….
자연스럽게 자키의 고민을 듣기 위해
모가리 일행은 파자마 파티를
계획하는데---?!"
"One Piece, Vol. 66 (만화 원피스 영문판)","Join Luffy as he tries to become the king of the pirates and find the legendary treasure, One Piece!
As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber…at the cost of never being able to swim again! Years, later, Luffy sets off in search of the ""One Piece,"" said to be the greatest treasure in the world..."
강철의 연금술사 17,"Hiromu Arakawa의 만화 『강철의 연금술사』제17권. 에드워드와 알폰스 형제는 어렸을 때 죽은 어머니를 연금술로 되살리려 한다. 그러나 연성은 실패하고, 에드워드는 왼쪽 다리와 동생 알폰스를 잃고 만다. 간신히 자신의 오른팔을 대가로 알폰스의 혼을 연성하여 갑옷에 정착하는 데에는 성공하지만, 그 대가는 너무나도 컸다. 그리고 형제는 모든 것을 되찾기로 맹세했다…."
강철의 연금술사 12,"『강철의 연금술사』 제12권. 본 작품은 주인공 에드워드가 동생 알폰스와 함께 죽은 엄마를 살리기 위해 인체연성을 시도한 댓가로 자신은 왼쪽다리를, 동생 알폰스는 몸 전체를 잃게 되는 시련을 당한다. 잃어버린 모든것을 되찾기 위해 연금술에 매진한 에드워드는 12살이라는 어린 나이에 국가 연금술사의 자리에 오르고, 동생의 몸을 되찾기 위해 '현자의 돌'의 비밀을 파헤친다."
명탐정 코난 106 일반판 (초판 한정 부록 : 아크릴 책갈피),"김전일 뺨치는 명석함을 지닌 고등학생 탐정 구도 신이치, 그러나 어느날 범죄조직을 추적하던 그는 이상한 약을 먹고 하루아침 새에 8살짜리 꼬마의 몸으로 줄어들고 만다. 여자친구인 란에게 조차 비밀을 털어놓지 못하고 꼬마 코난 행세를 하게된 신이치, 그러나 타고난 명석함과 불타는 정의감까지 사라진 것은 결코 아니었다.



때마침 란의 아빠인 사립탐정 모리는 이러저런 사건의 의뢰를 맡게 되고, 곁에서 모리 탐정의 무능함을 보다못한 코난은 번번히 사건에 끼여들어 탐정 모리를 마취주사로 잠재우고, 타고난 추리력을 기반으로 문제를 해결해가는데... 깜찍한 캐릭터들과, 흥미진진한 사건전개, 치밀한 퍼즐 미스테리로 많은 팬들을 거느리고 있는 본격 추리만화. 최근에는 애니메이션이 TV에서 방영되기도 했다."
"One Piece, Vol. 63 (만화 원피스 영문판)","Reads R to L (Japanese Style) for audiences T.

As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years, later, Luffy sets off in search of the ""One Piece,"" said to be the greatest treasure in the world..."
괴수 8호 6 일반판,검색 결과 없음
원피스 ONE PIECE 61,검색 결과 없음
팬텀 버스터즈 2 (초판 한정 부록 : 일러스트 카드+네 컷 사진+일러스트 PP카드+미니 L홀더),"SNS에서도 화제만발!
본격적으로 활동을 시작한 팬버스의
앞을 가로막는 자객과 시련!!!

멤버를 모아,  팬텀 버스터즈로서
제령 활동을 시작한 모가리와 친구들. 
인지도를 높이기 위한 홍보 활동을 하던 중, 
냉철한 현실주의자로 알려진 
이치미야 학생회장에게 찍히고(?) 말았다!
게다가 시시쿠노 영산에서는 모가리 암살이라는
사명을 받은 자객이 파견되는데--?!

4명의 남고생들이 펼치는
우당탕탕 제령×청춘 코미디!"
원피스 ONE PIECE 58,검색 결과 없음
원피스 ONE PIECE 57,검색 결과 없음
원피스 ONE PIECE 72,검색 결과 없음
드래곤볼 풀컬러판 마인 부우 편 3,검색 결과 없음
"One Piece, Vol. 76 (만화 원피스 영문판)","As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber…at the cost of never being able to swim again! Years, later, Luffy sets off in search of the ""One Piece,"" said to be the greatest treasure in the world...

As Luffy and the Straw Hats battle it out with the Doflamingo family, we flash back to the childhood of Trafalgar Law."
던전밥 12 (S코믹스),"스튜디오 TRIGGER 제작, TV애니메이션화 결정!!
이 시대 최고의 쿠킹 판타지!!

작은 섬의 이변은 세계로 뻗어나간다.

""모두와 함께 나이를 먹고 싶어""
미궁의 주인이 된 마르실의 소원은
저주가 되어 세계를 삼키기 시작했다.

마르실을 속여 자신의 욕망을 이루려는 날개 사자를
라이오스 일행은 막을 수 있을 것인가!?"
원피스 ONE PIECE 109,검색 결과 없음
괴수 8호 12 일반판,검색 결과 없음
채식주의자 (한강 소설ㅣ2024년 노벨문학상 수상작가),"인터내셔널 부커상, 산클레멘테 문학상 수상작
전세계가 주목한 한강의 역작을 다시 만나다

2016년 인터내셔널 부커상을 수상하며 한국문학의 입지를 한단계 확장시킨 한강의 장편소설 『채식주의자』를 15년 만에 새로운 장정으로 선보인다. 상처받은 영혼의 고통과 식물적 상상력의 강렬한 결합을 정교한 구성과 흡인력 있는 문체로 보여주는 이 작품은 섬뜩한 아름다움의 미학을 한강만의 방식으로 완성한 역작이다. “탄탄하고 정교하며 충격적인 작품으로, 독자들의 마음에 그리고 아마도 그들의 꿈에 오래도록 머물 것이다”라는 평을 받으며 인터내셔널 부커상을 수상했던 『채식주의자』는 “미국 문학계에 파문을 일으키면서도 독자들과 공명할 것으로 보인다”(뉴욕타임스), “놀라울 정도로 아름다운 산문과 믿을 수 없을 만큼 폭력적인 내용의 조합이 충격적이다”(가디언)라는 해외서평을 받았고 2018년에는 스페인에서 산클레멘테 문학상을 받는 등 전세계에서 뜨거운 반응을 일으켰다. 국내에서는 현재까지 100만부 가까이 판매되었다.

『채식주의자』는 어느 날부터 육식을 거부하며 가족들과 갈등을 빚기 시작하는 ‘영혜’가 중심인물로 등장하는 장편소설이다. 하지만 소설은 영혜를 둘러싼 세 인물인 남편, 형부, 언니의 시선에서 서술되며 영혜는 단 한번도 주도적인 화자의 위치를 얻지 못한다. 가족의 이름으로 자행되는 가부장의 폭력, 그리고 그 폭력에 저항하며 금식을 통해 동물성을 벗어던지고 나무가 되고자 한 영혜가 보여주는 식물적 상상력의 경지는 모든 세대 독자를 아우르며 더 크나큰 공명을 이루어낼 것이다."
사카모토 데이즈 14 일반판,검색 결과 없음
채식주의자 (한강 소설ㅣ2024년 노벨문학상 수상작가),"인터내셔널 부커상, 산클레멘테 문학상 수상작
전세계가 주목한 한강의 역작을 다시 만나다

2016년 인터내셔널 부커상을 수상하며 한국문학의 입지를 한단계 확장시킨 한강의 장편소설 『채식주의자』를 15년 만에 새로운 장정으로 선보인다. 상처받은 영혼의 고통과 식물적 상상력의 강렬한 결합을 정교한 구성과 흡인력 있는 문체로 보여주는 이 작품은 섬뜩한 아름다움의 미학을 한강만의 방식으로 완성한 역작이다. “탄탄하고 정교하며 충격적인 작품으로, 독자들의 마음에 그리고 아마도 그들의 꿈에 오래도록 머물 것이다”라는 평을 받으며 인터내셔널 부커상을 수상했던 『채식주의자』는 “미국 문학계에 파문을 일으키면서도 독자들과 공명할 것으로 보인다”(뉴욕타임스), “놀라울 정도로 아름다운 산문과 믿을 수 없을 만큼 폭력적인 내용의 조합이 충격적이다”(가디언)라는 해외서평을 받았고 2018년에는 스페인에서 산클레멘테 문학상을 받는 등 전세계에서 뜨거운 반응을 일으켰다. 국내에서는 현재까지 100만부 가까이 판매되었다.

『채식주의자』는 어느 날부터 육식을 거부하며 가족들과 갈등을 빚기 시작하는 ‘영혜’가 중심인물로 등장하는 장편소설이다. 하지만 소설은 영혜를 둘러싼 세 인물인 남편, 형부, 언니의 시선에서 서술되며 영혜는 단 한번도 주도적인 화자의 위치를 얻지 못한다. 가족의 이름으로 자행되는 가부장의 폭력, 그리고 그 폭력에 저항하며 금식을 통해 동물성을 벗어던지고 나무가 되고자 한 영혜가 보여주는 식물적 상상력의 경지는 모든 세대 독자를 아우르며 더 크나큰 공명을 이루어낼 것이다."
던전밥 8 (S코믹스),"던전 미궁 속 식재료들의 역습!
먹을 수 있다면, 한번 먹어 봐!

실수로 던전 속 체인질링에 당해버린 라이오스 일행!
눈을 뜨자 서로 종족이 바뀌어버리는 대참사가 일어나는데……!

한편, 던전으로 인한 재앙을 막기 위해
카블루가 마지막으로 라이오스에게 남긴 부탁이란……?

잘~ 먹고, 잘~ 싸워서 미궁의 미스테리를 파헤쳐라!
신개념 판타지 던전 먹방 만화, 드디어 제8권 발매!"
